table,domain,rls_enabled,policy,cmd,roles,permissive,using_expr,with_check_expr,flags,notes,severity
clinical_alerts,Other,YES,clinical_alerts_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
clinical_alerts,Other,YES,clinical_alerts_update,UPDATE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
clinical_audit_samples,Quality/NABH,YES,hospital_isolation_audit_samples,ALL,{public},PERMISSIVE,(audit_id IN ( SELECT clinical_audits.id FROM clinical_audits WHERE (clinical_audits.hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))))),(audit_id IN ( SELECT clinical_audits.id FROM clinical_audits WHERE (clinical_audits.hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))))),INITPLAN auth.*() per-row,,LOW
clinical_audits,Quality/NABH,YES,hospital_isolation_clinical_audits,ALL,{public},PERMISSIVE,(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
clinical_guidelines,Other,YES,guidelines_read,SELECT,{public},PERMISSIVE,((hospital_id IS NULL) OR (hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid())))),,INITPLAN auth.*() per-row,,LOW
clinical_guidelines,Other,YES,guidelines_service_role,ALL,{service_role},PERMISSIVE,true,true,none,,OK
clinical_guidelines,Other,YES,guidelines_write,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
clinical_note_templates,Other,YES,cnt_delete,DELETE,{authenticated},PERMISSIVE,((created_by = ( SELECT users.id FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1)) AND (hospital_id = get_user_hospital_id())),,INITPLAN auth.*() per-row,,LOW
clinical_note_templates,Other,YES,cnt_insert,INSERT,{authenticated},PERMISSIVE,,((created_by = ( SELECT users.id FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1)) AND (hospital_id = get_user_hospital_id())),INITPLAN auth.*() per-row,,LOW
clinical_note_templates,Other,YES,cnt_select,SELECT,{authenticated},PERMISSIVE,((hospital_id = get_user_hospital_id()) AND ((is_shared = true) OR (created_by = ( SELECT users.id FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1)))),,INITPLAN auth.*() per-row,,LOW
clinical_note_templates,Other,YES,cnt_update,UPDATE,{authenticated},PERMISSIVE,((created_by = ( SELECT users.id FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1)) AND (hospital_id = get_user_hospital_id())),((created_by = ( SELECT users.id FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1)) AND (hospital_id = get_user_hospital_id())),INITPLAN auth.*() per-row,,LOW
clinical_protocols,Other,YES,clinical_protocols_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
clinical_reference_sources,Other,YES,clinical_ref_sources_read,SELECT,{public},PERMISSIVE,((hospital_id IS NULL) OR (hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid())))),,INITPLAN auth.*() per-row,,LOW
clinical_reference_sources,Other,YES,clinical_ref_sources_service_role,ALL,{service_role},PERMISSIVE,true,true,none,,OK
clinical_reference_sources,Other,YES,clinical_ref_sources_write,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
code_blue_audits,Other,YES,code_blue_audits_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
code_blue_events,Other,YES,code_blue_events_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
coding_audits,Other,YES,hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
cold_chain_log,Vaccination,YES,cold_chain_log_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
cold_chain_log,Vaccination,YES,tenant_isolation_cold_chain_log,ALL,{authenticated},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),INITPLAN auth.*() per-row; MULTIPLE PERMISSIVE (2),,MEDIUM
cold_storage_log,Other,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
collection_campaigns,Other,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
committee_action_items,Quality/NABH,YES,hospital_isolation_committee_actions,ALL,{public},PERMISSIVE,(meeting_id IN ( SELECT cm.id FROM (committee_meetings cm JOIN hospital_committees hc ON ((hc.id = cm.committee_id))) WHERE (hc.hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))))),(meeting_id IN ( SELECT cm.id FROM (committee_meetings cm JOIN hospital_committees hc ON ((hc.id = cm.committee_id))) WHERE (hc.hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))))),INITPLAN auth.*() per-row,,LOW
committee_meetings,Quality/NABH,YES,hospital_isolation_committee_meetings,ALL,{public},PERMISSIVE,(committee_id IN ( SELECT hospital_committees.id FROM hospital_committees WHERE (hospital_committees.hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))))),(committee_id IN ( SELECT hospital_committees.id FROM hospital_committees WHERE (hospital_committees.hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))))),INITPLAN auth.*() per-row,,LOW
committee_members,Quality/NABH,YES,hospital_isolation_committee_members,ALL,{public},PERMISSIVE,(committee_id IN ( SELECT hospital_committees.id FROM hospital_committees WHERE (hospital_committees.hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))))),(committee_id IN ( SELECT hospital_committees.id FROM hospital_committees WHERE (hospital_committees.hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))))),INITPLAN auth.*() per-row,,LOW
config_change_logs,Other,YES,hospital_isolation_config_change_logs,ALL,{public},PERMISSIVE,(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
consent_form_templates,Audit/Compliance,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
consent_templates,Audit/Compliance,YES,consent_templates_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
corporate_accounts,Insurance,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
corporate_accounts,Insurance,YES,corporate_accounts_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
corporate_accounts,Insurance,YES,corporate_accounts_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
credential_override_log,Other,YES,credential_override_log_hospital,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
credit_note_items,Billing,YES,credit_note_items_insert,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
credit_note_items,Billing,YES,credit_note_items_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
credit_notes,Billing,YES,credit_notes_insert,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
credit_notes,Billing,YES,credit_notes_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
credit_notes,Billing,YES,credit_notes_update,UPDATE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
cross_match_records,Other,YES,cross_match_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
cycle_instruments,Other,YES,cycle_instruments_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
daily_cash_closure,Other,YES,daily_cash_closure_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
daily_cash_closure,Other,YES,daily_cash_closure_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
daily_census_snapshots,Other,YES,hospital_users_own_census,ALL,{public},PERMISSIVE,(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
data_erasure_requests,Other,YES,data_erasure_requests_admin_all,ALL,{authenticated},PERMISSIVE,is_aumrti_admin(),is_aumrti_admin(),none,,OK
data_erasure_requests,Other,YES,data_erasure_requests_hospital_insert,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
data_erasure_requests,Other,YES,data_erasure_requests_hospital_read,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
