table,domain,index,columns,kind,size_bytes,scans,flags
appointments,OPD,idx_appointments_doctor,doctor_id appointment_date,INDEX,16384,0,"ZERO scans since stats reset; DUPLICATE column set: idx_appointments_doctor_date, idx_appointments_doctor"
appointments,OPD,idx_appointments_doctor_date,doctor_id appointment_date,INDEX,16384,0,"ZERO scans since stats reset; DUPLICATE column set: idx_appointments_doctor_date, idx_appointments_doctor"
appointments,OPD,idx_appointments_hospital_date,hospital_id appointment_date,INDEX,16384,0,ZERO scans since stats reset
appointments,OPD,idx_appointments_patient,patient_id,INDEX,16384,0,ZERO scans since stats reset
appointments,OPD,idx_appointments_reminder,appointment_date reminder_sent hospital_id,INDEX,16384,0,ZERO scans since stats reset
appointments,OPD,idx_appointments_status,status,INDEX,16384,0,ZERO scans since stats reset
arogyasri_enrollments,PM-JAY,arogyasri_enrollments_pkey,id,PK,8192,0,none
arogyasri_enrollments,PM-JAY,idx_arogyasri_hospital,hospital_id,INDEX,8192,104,none
arogyasri_enrollments,PM-JAY,idx_arogyasri_patient,patient_id,INDEX,8192,0,ZERO scans since stats reset
art_couples,IVF/ART,art_couples_hospital_couple_code_key,hospital_id couple_code,UNIQUE,16384,131,none
art_couples,IVF/ART,art_couples_pkey,id,PK,16384,2,none
art_couples,IVF/ART,idx_art_couples_female,female_patient_id,INDEX,16384,67,none
art_couples,IVF/ART,idx_art_couples_hospital,hospital_id,INDEX,16384,0,ZERO scans since stats reset
asr_pricing,Other,asr_pricing_pkey,id,PK,16384,0,none
asr_pricing,Other,asr_pricing_provider_key,provider,UNIQUE,16384,72,none
attendance_regularization_requests,HR,attendance_regularization_requests_pkey,id,PK,8192,0,none
attendance_regularization_requests,HR,reg_req_hospital_idx,hospital_id status,INDEX,8192,193,none
audit_log,Audit/Compliance,audit_log_pkey,id,PK,548864,0,none
audit_log,Audit/Compliance,idx_audit_log_changed_by,changed_by,INDEX,155648,0,ZERO scans since stats reset
audit_log,Audit/Compliance,idx_audit_log_hospital,hospital_id changed_at,INDEX,843776,127,none
audit_log,Audit/Compliance,idx_audit_log_table_record,table_name record_id,INDEX,319488,20,none
audit_records,Audit/Compliance,audit_records_pkey,id,PK,16384,0,none
